State,Occupation title,Occupation group,Total employment,Annual mean wage,Annual median wage,Top 10 percent wage
Maryland,"Kindergarten Teachers, Except Special Education",detailed,"2,310","58,930","56,510","87,610"
Maryland,"Elementary School Teachers, Except Special Education",detailed,"24,960","64,970","63,140","94,910"
Maryland,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"11,550","64,840","62,400","98,850"
Maryland,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"21,780","65,930","63,770","97,130"
Maryland,"Career/Technical Education Teachers, Secondary School",detailed,770,"68,400","69,210","98,150"
Maryland,"Special Education Teachers, Preschool",detailed,590,"70,030","68,610","107,290"
Maryland,"Special Education Teachers, Kindergarten and Elementary School",detailed,"4,460","55,550","51,600","82,340"
Maryland,"Special Education Teachers, Middle School",detailed,"2,340","62,490","59,730","94,980"
Maryland,"Special Education Teachers, Secondary School",detailed,"3,320","64,980","63,110","94,870"
Maryland,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,900,"56,670","56,390","84,650"
Maryland,Self-Enrichment Education Teachers,detailed,"5,090","46,670","37,800","85,530"
Maryland,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"5,860","59,450","46,100","115,690"
Maryland,Archivists,detailed,270,"68,280","62,470","100,760"
Maryland,Curators,detailed,120,"64,080","61,040","98,040"
Maryland,Museum Technicians and Conservators,detailed,440,"61,040","53,430","100,750"
Maryland,Librarians,detailed,"2,940","68,720","64,110","101,370"
Maryland,Library Technicians,detailed,"1,880","40,240","38,820","59,590"
Maryland,Audio-Visual and Multimedia Collections Specialists,detailed,210,"48,890","45,810","75,820"
Maryland,Instructional Coordinators,detailed,"6,510","69,980","66,000","102,450"
Maryland,Teacher Assistants,detailed,"15,760","28,750","26,330","42,440"
Maryland,"Education, Training, and Library Workers, All Other",detailed,"1,640","48,150","46,440","74,060"
Maryland,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"30,420","59,460","53,090","102,970"
Maryland,Art Directors,detailed,340,"85,640","79,120","131,100"
Maryland,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,120,"47,910","47,170","70,030"
Maryland,Multimedia Artists and Animators,detailed,290,"62,860","56,920","102,480"
Maryland,"Artists and Related Workers, All Other",detailed,520,"80,380","77,570","116,720"
Maryland,Commercial and Industrial Designers,detailed,290,"63,200","59,060","96,290"
Maryland,Floral Designers,detailed,660,"30,200","29,370","39,940"
Maryland,Graphic Designers,detailed,"3,260","58,590","55,250","92,990"
Maryland,Interior Designers,detailed,"1,300","58,350","56,050","88,380"
Maryland,Merchandise Displayers and Window Trimmers,detailed,"1,140","28,830","25,590","45,520"
Maryland,Set and Exhibit Designers,detailed,200,"51,830","50,780","87,840"
Maryland,"Designers, All Other",detailed,290,"58,660","59,490","90,480"
Maryland,Producers and Directors,detailed,"1,730","79,550","71,860","132,480"
Maryland,Coaches and Scouts,detailed,"2,990","44,590","36,520","73,130"
Maryland,Music Directors and Composers,detailed,110,"58,810","49,890","116,610"
Maryland,Radio and Television Announcers,detailed,320,"68,280","42,910","147,240"
Maryland,Public Address System and Other Announcers,detailed,30,"42,480","23,390","63,780"
Maryland,Reporters and Correspondents,detailed,410,"65,010","56,280","122,950"
Maryland,Public Relations Specialists,detailed,"3,430","68,560","60,810","116,640"
Maryland,Editors,detailed,"2,210","64,040","58,430","102,490"
Maryland,Technical Writers,detailed,"1,980","78,010","77,770","110,570"
Maryland,Writers and Authors,detailed,"1,110","80,110","73,660","125,000"
Maryland,Interpreters and Translators,detailed,890,"66,800","67,040","106,100"
Maryland,"Media and Communication Workers, All Other",detailed,390,"53,410","47,460","90,280"
Maryland,Audio and Video Equipment Technicians,detailed,"1,380","45,410","41,190","71,570"
Maryland,Broadcast Technicians,detailed,350,"46,180","38,610","76,300"
Maryland,Sound Engineering Technicians,detailed,290,"55,930","54,380","78,440"
Maryland,Photographers,detailed,970,"37,190","28,160","69,060"
Maryland,"Camera Operators, Television, Video, and Motion Picture",detailed,280,"51,350","47,910","78,060"
Maryland,Film and Video Editors,detailed,130,"54,300","51,610","88,850"
Maryland,"Media and Communication Equipment Workers, All Other",detailed,560,"93,990","100,740","119,800"
Maryland,Healthcare Practitioners and Technical Occupations,major,"170,140","85,430","71,720","141,650"
Maryland,Chiropractors,detailed,470,"96,840","81,410","159,200"
Maryland,Dietitians and Nutritionists,detailed,"1,010","67,440","66,200","96,290"
Maryland,Pharmacists,detailed,"6,490","120,400","122,350","156,700"
Maryland,Physician Assistants,detailed,"2,740","96,110","98,660","132,810"
Maryland,Occupational Therapists,detailed,"2,710","86,170","87,690","118,710"
Maryland,Physical Therapists,detailed,"4,850","87,750","89,370","122,870"
Maryland,Radiation Therapists,detailed,230,"85,010","84,310","117,600"
Maryland,Recreational Therapists,detailed,350,"48,100","46,520","73,270"
Maryland,Respiratory Therapists,detailed,"1,500","67,690","66,100","80,370"
Maryland,Speech-Language Pathologists,detailed,"2,500","82,410","80,810","118,590"
Maryland,Exercise Physiologists,detailed,90,"55,130","49,420","82,650"
Maryland,"Therapists, All Other",detailed,540,"53,100","49,850","86,200"
Maryland,Veterinarians,detailed,"1,540","115,360","112,330","170,860"
Maryland,Registered Nurses,detailed,"53,330","74,710","73,440","99,710"
Maryland,Nurse Anesthetists,detailed,380,"128,650","138,670","172,050"
Maryland,Nurse Midwives,detailed,310,"86,870","94,600","126,630"
Maryland,Nurse Practitioners,detailed,"2,960","108,170","102,100","138,850"
Maryland,Audiologists,detailed,160,"83,790","89,740","102,990"
Maryland,"Health Diagnosing and Treating Practitioners, All Other",detailed,"5,140","125,110","130,690","160,300"
Maryland,Medical and Clinical Laboratory Technologists,detailed,"3,840","62,300","61,760","84,050"
Maryland,Medical and Clinical Laboratory Technicians,detailed,"5,310","42,090","38,860","62,230"
Maryland,Dental Hygienists,detailed,"3,560","82,750","86,350","102,020"
Maryland,Cardiovascular Technologists and Technicians,detailed,"1,330","58,870","58,220","93,320"
Maryland,Diagnostic Medical Sonographers,detailed,"1,370","71,690","72,180","95,780"
Maryland,Nuclear Medicine Technologists,detailed,420,"78,810","80,080","99,990"
Maryland,Radiologic Technologists,detailed,"4,210","65,160","64,780","86,260"
Maryland,Magnetic Resonance Imaging Technologists,detailed,820,"73,340","74,720","96,630"
Maryland,Emergency Medical Technicians and Paramedics,detailed,"4,750","41,320","38,690","61,840"
Maryland,Dietetic Technicians,detailed,260,"35,190","32,430","53,430"
Maryland,Pharmacy Technicians,detailed,"7,300","32,420","31,420","45,960"
Maryland,Psychiatric Technicians,detailed,460,"38,220","35,240","57,920"
Maryland,Respiratory Therapy Technicians,detailed,410,"59,210","59,790","76,230"
Maryland,Surgical Technologists,detailed,"2,030","52,390","51,280","73,860"
Maryland,Veterinary Technologists and Technicians,detailed,"2,890","34,570","34,270","47,460"
Maryland,Ophthalmic Medical Technicians,detailed,"1,100","39,610","37,940","58,360"
Maryland,Licensed Practical and Licensed Vocational Nurses,detailed,"11,640","51,980","51,640","64,710"
Maryland,Medical Records and Health Information Technicians,detailed,"4,080","48,730","46,850","74,360"
Maryland,"Opticians, Dispensing",detailed,"1,270","38,220","35,910","52,850"
Maryland,Orthotists and Prosthetists,detailed,70,"73,290","70,040","102,530"
Maryland,Hearing Aid Specialists,detailed,60,"52,180","53,780","77,310"
Maryland,"Health Technologists and Technicians, All Other",detailed,"1,900","47,020","42,850","68,990"
Maryland,Occupational Health and Safety Specialists,detailed,"1,250","87,360","79,210","119,800"
Maryland,Occupational Health and Safety Technicians,detailed,230,"48,580","45,460","75,900"
Maryland,Athletic Trainers,detailed,210,"45,820","45,370","67,900"
Maryland,"Healthcare Practitioners and Technical Workers, All Other",detailed,"2,010","87,660","90,400","127,040"
Maryland,Healthcare Support Occupations,major,"74,520","32,710","30,020","47,950"
Maryland,Home Health Aides,detailed,"11,740","25,080","24,200","31,120"
Maryland,Psychiatric Aides,detailed,380,"30,290","28,910","39,800"
Maryland,Nursing Assistants,detailed,"29,180","29,700","28,940","38,810"
Maryland,Orderlies,detailed,"1,480","27,970","27,500","36,630"
Maryland,Occupational Therapy Assistants,detailed,560,"65,350","65,400","89,710"
Maryland,Occupational Therapy Aides,detailed,110,"30,950","26,960","49,160"
Maryland,Physical Therapist Assistants,detailed,"1,480","57,670","58,820","81,530"
Maryland,Physical Therapist Aides,detailed,"1,590","27,610","24,740","39,490"
Maryland,Massage Therapists,detailed,"1,770","51,650","44,170","107,510"
Maryland,Dental Assistants,detailed,"5,690","40,430","40,190","56,340"
Maryland,Medical Assistants,detailed,"10,800","35,030","33,810","47,760"
Maryland,Medical Equipment Preparers,detailed,"1,300","36,610","35,810","52,010"
Maryland,Medical Transcriptionists,detailed,700,"35,860","36,020","55,880"
Maryland,Veterinary Assistants and Laboratory Animal Caretakers,detailed,"1,560","27,450","24,680","38,690"
Maryland,Phlebotomists,detailed,"2,330","38,060","37,100","48,630"
Maryland,"Healthcare Support Workers, All Other",detailed,"3,640","39,700","37,930","58,110"
Maryland,Protective Service Occupations,major,"71,760","48,800","44,970","81,780"
Maryland,First-Line Supervisors of Correctional Officers,detailed,"2,120","61,090","58,340","78,320"
Maryland,First-Line Supervisors of Police and Detectives,detailed,"3,710","89,910","88,820","127,730"
Maryland,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"1,830","87,160","84,060","122,370"
Maryland,"First-Line Supervisors of Protective Service Workers, All Other",detailed,"1,850","50,540","49,420","77,270"
Maryland,Firefighters,detailed,"4,050","58,100","56,830","80,200"
Maryland,Fire Inspectors and Investigators,detailed,170,"60,450","59,630","82,330"
Maryland,Bailiffs,detailed,130,"46,710","37,800","110,230"
Maryland,Correctional Officers and Jailers,detailed,"7,260","47,050","45,420","56,750"
Maryland,Detectives and Criminal Investigators,detailed,960,"98,300","100,740","142,060"
Maryland,Fish and Game Wardens,detailed,110,"77,080","80,390","94,920"
Maryland,Parking Enforcement Workers,detailed,170,"37,510","36,290","55,850"
Maryland,Police and Sheriff's Patrol Officers,detailed,"13,710","64,010","62,560","88,290"
Maryland,Animal Control Workers,detailed,150,"41,560","39,830","59,920"
Maryland,Private Detectives and Investigators,detailed,410,"49,910","48,010","75,640"
Maryland,Gaming Surveillance Officers and Gaming Investigators,detailed,90,"34,140","34,440","43,650"
Maryland,Security Guards,detailed,"27,720","33,930","29,170","57,340"
Maryland,Crossing Guards,detailed,800,"27,520","27,640","31,880"
Maryland,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"2,170","20,190","19,200","24,140"
Maryland,Transportation Security Screeners,detailed,570,"41,230","40,330","49,170"
Maryland,"Protective Service Workers, All Other",detailed,"3,590","37,320","34,590","60,550"
Maryland,Food Preparation and Serving Related Occupations,major,"217,820","24,650","20,660","36,580"
Maryland,Chefs and Head Cooks,detailed,"2,340","49,730","45,220","79,560"
Maryland,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"18,620","38,120","35,400","59,580"
Maryland,"Cooks, Fast Food",detailed,"7,640","21,710","20,690","27,840"
Maryland,"Cooks, Institution and Cafeteria",detailed,"4,440","32,620","31,670","44,200"
Maryland,"Cooks, Restaurant",detailed,"17,940","26,260","25,480","35,340"
Maryland,"Cooks, Short Order",detailed,"4,110","24,030","21,970","33,900"
Maryland,"Cooks, All Other",detailed,310,"30,310","28,540","44,030"
Maryland,Food Preparation Workers,detailed,"16,120","24,010","21,590","35,280"
Maryland,Bartenders,detailed,"10,080","24,860","19,620","36,690"
Maryland,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"48,940","20,790","19,510","24,690"
Maryland,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"9,410","22,690","19,370","30,870"
Maryland,Waiters and Waitresses,detailed,"42,360","23,780","19,520","33,610"
Maryland,"Food Servers, Nonrestaurant",detailed,"6,630","23,640","21,340","32,300"
Maryland,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"10,580","21,750","19,520","29,190"
Maryland,Dishwashers,detailed,"9,680","20,680","19,210","27,060"
Maryland,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"7,160","21,380","19,750","27,450"
Maryland,"Food Preparation and Serving Related Workers, All Other",detailed,"1,420","24,990","23,500","34,350"
Maryland,Building and Grounds Cleaning and Maintenance Occupations,major,"85,440","28,520","25,550","42,850"
Maryland,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"4,280","38,590","36,430","59,030"
Maryland,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"2,650","52,340","51,840","80,280"
Maryland,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"41,550","26,600","24,020","39,270"
Maryland,Maids and Housekeeping Cleaners,detailed,"14,480","24,050","22,950","31,220"
Maryland,"Building Cleaning Workers, All Other",detailed,"1,950","23,560","22,500","31,490"
Maryland,Pest Control Workers,detailed,"1,290","42,010","40,090","60,360"
Maryland,Landscaping and Groundskeeping Workers,detailed,"16,950","28,880","27,460","40,650"
Maryland,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,400,"36,500","36,040","49,230"
Maryland,Tree Trimmers and Pruners,detailed,"1,470","41,460","40,050","59,760"
Maryland,Personal Care and Service Occupations,major,"78,460","28,950","23,590","47,870"
Maryland,Slot Supervisors,detailed,100,"39,090","37,150","62,000"
Maryland,First-Line Supervisors of Personal Service Workers,detailed,"4,720","42,250","39,500","65,740"
Maryland,Animal Trainers,detailed,290,"30,140","23,790","50,440"
Maryland,Nonfarm Animal Caretakers,detailed,"2,710","25,580","23,280","37,400"
Maryland,"Gaming Service Workers, All Other",detailed,400,"25,230","19,150","39,780"
Maryland,"Ushers, Lobby Attendants, and Ticket Takers",detailed,"2,340","20,270","19,150","24,430"
Maryland,Amusement and Recreation Attendants,detailed,"7,300","20,730","18,980","24,970"
Maryland,Costume Attendants,detailed,50,"40,550","43,410","52,290"
Maryland,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,300,"23,620","22,700","31,090"
Maryland,"Entertainment Attendants and Related Workers, All Other",detailed,290,"23,160","22,240","29,490"
Maryland,Funeral Attendants,detailed,520,"30,180","28,930","44,950"
Maryland,"Morticians, Undertakers, and Funeral Directors",detailed,330,"58,330","57,200","81,370"
Maryland,Barbers,detailed,250,"31,450","24,140","53,610"
Maryland,"Hairdressers, Hairstylists, and Cosmetologists",detailed,"8,560","31,350","25,600","51,470"
Maryland,Manicurists and Pedicurists,detailed,"2,170","24,930","22,580","37,330"
Maryland,Shampooers,detailed,"1,790","19,660","18,950","23,410"
Maryland,Skincare Specialists,detailed,660,"41,360","38,470","61,700"
Maryland,Baggage Porters and Bellhops,detailed,380,"35,200","26,460","54,400"
Maryland,Concierges,detailed,580,"32,850","31,070","45,980"
Maryland,Tour Guides and Escorts,detailed,380,"23,080","21,160","31,520"
Maryland,Childcare Workers,detailed,"9,750","25,060","23,030","36,460"
Maryland,Personal Care Aides,detailed,"14,330","24,900","23,630","32,930"
Maryland,Fitness Trainers and Aerobics Instructors,detailed,"6,550","47,810","39,690","83,780"
Maryland,Recreation Workers,detailed,"5,510","27,670","23,550","44,300"
Maryland,Residential Advisors,detailed,"5,120","28,940","26,030","42,590"
Maryland,Sales and Related Occupations,major,"265,250","40,950","27,000","78,660"
Maryland,First-Line Supervisors of Retail Sales Workers,detailed,"26,820","44,260","41,460","65,420"
Maryland,First-Line Supervisors of Non-Retail Sales Workers,detailed,"5,400","88,870","78,450","146,140"
Maryland,Cashiers,detailed,"77,520","22,080","19,650","30,520"
Maryland,Counter and Rental Clerks,detailed,"10,300","33,890","30,880","55,250"
Maryland,Parts Salespersons,detailed,"3,730","35,700","33,550","53,190"
Maryland,Retail Salespersons,detailed,"69,470","26,410","22,230","39,560"
Maryland,Advertising Sales Agents,detailed,"1,210","54,740","49,900","81,930"
Maryland,Insurance Sales Agents,detailed,"7,140","65,960","51,850","121,400"
Maryland,Travel Agents,detailed,"1,650","43,580","39,440","65,130"
Maryland,"Sales Representatives, Services, All Other",detailed,"27,320","70,500","60,000","127,330"
Maryland,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"16,720","68,860","56,580","121,840"
Maryland,Demonstrators and Product Promoters,detailed,950,"27,980","22,530","48,120"
Maryland,Real Estate Brokers,detailed,660,"83,470","60,900","138,270"
Maryland,Real Estate Sales Agents,detailed,"2,130","59,980","46,350","119,270"
Maryland,Telemarketers,detailed,"1,260","26,430","22,340","45,010"
Maryland,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,190,"30,910","28,620","45,570"
Maryland,"Sales and Related Workers, All Other",detailed,"1,750","45,470","39,590","75,200"
Maryland,Office and Administrative Support Occupations,major,"408,340","39,810","36,890","62,190"
Maryland,First-Line Supervisors of Office and Administrative Support Workers,detailed,"38,060","61,050","58,300","89,970"
Maryland,"Switchboard Operators, Including Answering Service",detailed,"1,420","31,070","28,970","41,480"
Maryland,Telephone Operators,detailed,190,"44,480","36,870","76,930"
Maryland,Bill and Account Collectors,detailed,"4,270","41,460","40,080","56,470"
Maryland,Billing and Posting Clerks,detailed,"8,010","38,460","37,900","52,520"
Maryland,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"23,570","44,720","43,770","63,580"
Maryland,Gaming Cage Workers,detailed,80,"25,080","24,110","30,660"
Maryland,Payroll and Timekeeping Clerks,detailed,"2,810","47,360","47,540","64,140"
Maryland,Procurement Clerks,detailed,"1,860","48,680","47,870","63,550"
Maryland,Tellers,detailed,"7,900","30,720","30,150","40,170"
Maryland,"Financial Clerks, All Other",detailed,520,"49,150","45,820","72,860"
Maryland,Brokerage Clerks,detailed,670,"55,260","52,750","77,300"
Maryland,Correspondence Clerks,detailed,370,"34,450","31,030","51,180"
Maryland,"Credit Authorizers, Checkers, and Clerks",detailed,950,"34,440","31,420","50,050"
Maryland,Customer Service Representatives,detailed,"46,910","36,430","34,060","56,700"
Maryland,"Eligibility Interviewers, Government Programs",detailed,"1,460","49,620","51,600","62,880"
Maryland,File Clerks,detailed,"1,970","32,500","31,220","48,850"
Maryland,"Hotel, Motel, and Resort Desk Clerks",detailed,"3,400","26,120","24,680","35,140"
Maryland,"Interviewers, Except Eligibility and Loan",detailed,"4,390","35,740","34,770","49,080"
Maryland,"Library Assistants, Clerical",detailed,"1,710","27,370","24,630","41,310"
Maryland,Loan Interviewers and Clerks,detailed,"2,390","43,790","43,530","63,810"
Maryland,New Accounts Clerks,detailed,630,"40,980","40,480","55,530"
Maryland,Order Clerks,detailed,"2,410","35,990","35,320","55,130"
Maryland,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"4,220","42,980","42,660","58,640"
Maryland,Receptionists and Information Clerks,detailed,"19,490","28,090","27,050","39,270"
Maryland,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"1,890","38,030","35,150","59,750"
Maryland,"Information and Record Clerks, All Other",detailed,"5,400","47,020","47,440","62,890"
Maryland,Cargo and Freight Agents,detailed,640,"41,650","41,080","61,760"
Maryland,Couriers and Messengers,detailed,770,"32,230","31,670","44,770"
Maryland,"Police, Fire, and Ambulance Dispatchers",detailed,"1,450","44,520","43,670","60,290"
Maryland,"Dispatchers, Except Police, Fire, and Ambulance",detailed,"3,350","41,020","39,640","61,550"
Maryland,"Meter Readers, Utilities",detailed,290,"45,840","44,160","66,310"
Maryland,Postal Service Clerks,detailed,"1,380","49,840","56,790","57,990"
Maryland,Postal Service Mail Carriers,detailed,"6,760","50,550","58,280","61,090"
Maryland,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"2,890","49,640","56,220","57,300"
Maryland,"Production, Planning, and Expediting Clerks",detailed,"4,390","50,540","48,740","72,940"
Maryland,"Shipping, Receiving, and Traffic Clerks",detailed,"9,300","34,920","33,190","50,950"
Maryland,Stock Clerks and Order Fillers,detailed,"39,610","27,030","23,300","42,970"
Maryland,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,740,"36,470","35,230","52,740"
Maryland,Executive Secretaries and Executive Administrative Assistants,detailed,"9,760","66,060","65,860","87,310"
Maryland,Legal Secretaries,detailed,"3,290","42,090","37,900","66,230"
Maryland,Medical Secretaries,detailed,"11,850","36,880","35,810","51,020"
Maryland,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"61,760","39,300","38,600","57,770"
Maryland,Computer Operators,detailed,780,"37,790","35,060","60,230"
Maryland,Data Entry Keyers,detailed,"4,130","34,480","34,340","48,850"
Maryland,Word Processors and Typists,detailed,750,"39,300","37,100","51,570"
Maryland,Desktop Publishers,detailed,490,"55,520","50,980","79,690"
Maryland,Insurance Claims and Policy Processing Clerks,detailed,"2,580","46,780","44,570","66,490"
Maryland,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"2,070","33,300","31,920","48,610"
Maryland,"Office Clerks, General",detailed,"46,300","33,960","31,220","53,910"
Maryland,"Office Machine Operators, Except Computer",detailed,"1,600","33,660","34,130","47,730"
Maryland,Proofreaders and Copy Markers,detailed,310,"44,680","45,490","60,920"
Maryland,Statistical Assistants,detailed,240,"44,290","43,090","61,110"
Maryland,"Office and Administrative Support Workers, All Other",detailed,"3,530","43,590","39,940","65,260"
Maryland,"Farming, Fishing, and Forestry Occupations",major,"2,620","34,670","32,970","53,190"
Maryland,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,170,"56,620","56,750","86,860"
Maryland,Agricultural Inspectors,detailed,150,"47,590","48,120","61,980"
Maryland,"Graders and Sorters, Agricultural Products",detailed,250,"32,030","29,850","46,810"
Maryland,Agricultural Equipment Operators,detailed,120,"42,250","34,990","75,370"
Maryland,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,710,"29,220","25,920","44,490"
Maryland,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,430,"27,760","24,760","37,980"
Maryland,Forest and Conservation Workers,detailed,120,"35,090","35,290","39,720"
Maryland,Logging Equipment Operators,detailed,90,"34,650","34,470","47,560"
Maryland,Construction and Extraction Occupations,major,"115,570","48,520","44,380","77,840"
Maryland,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"14,770","70,510","65,450","101,530"
Maryland,Boilermakers,detailed,60,"66,200","64,980","87,790"
Maryland,Brickmasons and Blockmasons,detailed,"1,980","43,490","44,020","60,530"
Maryland,Stonemasons,detailed,280,"41,520","39,400","61,700"
Maryland,Carpenters,detailed,"13,830","49,010","46,310","70,250"
Maryland,Carpet Installers,detailed,510,"44,000","30,260","108,920"
Maryland,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,130,"41,750","38,930","62,080"
Maryland,Floor Sanders and Finishers,detailed,170,"39,800","39,120","49,850"
Maryland,Tile and Marble Setters,detailed,370,"48,230","46,810","65,230"
Maryland,Cement Masons and Concrete Finishers,detailed,"3,260","44,220","43,340","61,050"
Maryland,Construction Laborers,detailed,"19,120","33,200","32,590","46,630"
Maryland,"Paving, Surfacing, and Tamping Equipment Operators",detailed,990,"37,100","35,190","50,570"
Maryland,Pile-Driver Operators,detailed,80,"57,420","50,770","89,550"
Maryland,Operating Engineers and Other Construction Equipment Operators,detailed,"5,170","48,730","46,990","65,860"
Maryland,Drywall and Ceiling Tile Installers,detailed,"2,210","41,920","41,540","51,310"
Maryland,Tapers,detailed,180,"40,650","37,920","57,920"
Maryland,Electricians,detailed,"12,850","53,830","50,590","84,260"
Maryland,Glaziers,detailed,"1,240","46,670","46,610","61,490"
Maryland,"Insulation Workers, Floor, Ceiling, and Wall",detailed,200,"39,120","34,530","62,390"
Maryland,"Insulation Workers, Mechanical",detailed,420,"42,990","39,150","69,430"
Maryland,"Painters, Construction and Maintenance",detailed,"4,660","39,060","37,130","54,570"
Maryland,Paperhangers,detailed,250,"36,550","36,750","48,010"
Maryland,Pipelayers,detailed,880,"42,490","39,640","58,750"
Maryland,"Plumbers, Pipefitters, and Steamfitters",detailed,"11,130","55,490","54,000","81,090"
Maryland,Reinforcing Iron and Rebar Workers,detailed,640,"50,940","47,950","75,410"
Maryland,Roofers,detailed,"1,370","42,010","41,230","60,880"
Maryland,Sheet Metal Workers,detailed,"2,640","51,020","48,110","77,590"
Maryland,Structural Iron and Steel Workers,detailed,910,"50,170","48,650","74,760"
Maryland,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,920,"27,710","27,450","38,870"
Maryland,Helpers--Carpenters,detailed,"1,410","29,270","26,680","47,150"
Maryland,Helpers--Electricians,detailed,"1,130","28,720","27,400","39,900"
Maryland,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,250,"28,260","27,400","38,450"
Maryland,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,"1,300","28,260","28,030","38,620"
Maryland,Helpers--Roofers,detailed,340,"32,810","33,510","40,150"
Maryland,"Helpers, Construction Trades, All Other",detailed,"1,060","28,780","27,930","39,370"
Maryland,Construction and Building Inspectors,detailed,"2,410","56,680","55,800","79,640"
Maryland,Elevator Installers and Repairers,detailed,"1,580","79,550","84,390","102,630"
Maryland,Fence Erectors,detailed,430,"29,690","27,940","39,810"
Maryland,Hazardous Materials Removal Workers,detailed,710,"37,670","35,510","56,830"
Maryland,Highway Maintenance Workers,detailed,850,"38,600","36,820","55,090"
Maryland,Rail-Track Laying and Maintenance Equipment Operators,detailed,470,"55,170","58,600","71,850"
Maryland,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,210,"37,320","35,550","55,240"
Maryland,"Construction and Related Workers, All Other",detailed,680,"36,950","34,540","52,200"
Maryland,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,260,"56,740","57,170","64,600"
Maryland,"Rock Splitters, Quarry",detailed,40,"29,590","29,300","38,040"
Maryland,"Installation, Maintenance, and Repair Occupations",major,"100,590","50,230","48,010","78,280"
Maryland,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"9,660","68,330","63,880","102,290"
Maryland,"Computer, Automated Teller, and Office Machine Repairers",detailed,"2,130","42,690","39,080","69,540"
Maryland,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,"3,630","54,840","54,300","79,390"
Maryland,"Electric Motor, Power Tool, and Related Repairers",detailed,280,"41,310","34,620","63,570"
Maryland,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,310,"66,150","64,020","87,250"
Maryland,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,"1,350","66,350","67,240","93,500"
Maryland,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,530,"72,130","72,850","96,810"
Maryland,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,60,"33,600","32,610","45,430"
Maryland,Electronic Home Entertainment Equipment Installers and Repairers,detailed,230,"41,260","40,240","63,610"
Maryland,Security and Fire Alarm Systems Installers,detailed,"1,930","50,170","47,930","75,170"
Maryland,Aircraft Mechanics and Service Technicians,detailed,"2,150","69,130","71,680","86,900"
Maryland,Automotive Body and Related Repairers,detailed,"2,610","58,320","55,250","94,300"
Maryland,Automotive Glass Installers and Repairers,detailed,500,"38,270","35,470","56,580"
Maryland,Automotive Service Technicians and Mechanics,detailed,"12,600","47,100","46,190","71,370"
Maryland,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"3,890","48,860","48,390","71,800"
Maryland,Farm Equipment Mechanics and Service Technicians,detailed,300,"38,020","35,760","57,330"
Maryland,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,"2,700","50,420","49,840","69,250"
Maryland,Rail Car Repairers,detailed,920,"63,210","64,340","80,150"
Maryland,Motorboat Mechanics and Service Technicians,detailed,650,"44,410","45,200","64,280"
Maryland,Motorcycle Mechanics,detailed,140,"37,760","32,080","60,540"
